id	name	kind
anatomy::UBERON:0000002	uterine cervix	anatomy
anatomy::UBERON:0000004	nose	anatomy
anatomy::UBERON:0000006	islet of Langerhans	anatomy
anatomy::UBERON:0000007	pituitary gland	anatomy
anatomy::UBERON:0000010	peripheral nervous system	anatomy
anatomy::UBERON:0000011	parasympathetic nervous system	anatomy
anatomy::UBERON:0000013	sympathetic nervous system	anatomy
anatomy::UBERON:0000020	sense organ	anatomy
anatomy::UBERON:0000026	appendage	anatomy
anatomy::UBERON:0000029	lymph node	anatomy
anatomy::UBERON:0000033	head	anatomy
anatomy::UBERON:0000038	follicular fluid	anatomy
anatomy::UBERON:0000042	serous membrane	anatomy
anatomy::UBERON:0000043	tendon	anatomy
anatomy::UBERON:0000045	ganglion	anatomy
anatomy::UBERON:0000053	macula lutea	anatomy
anatomy::UBERON:0000054	macula	anatomy
anatomy::UBERON:0000056	ureter	anatomy
anatomy::UBERON:0000057	urethra	anatomy
anatomy::UBERON:0000165	mouth	anatomy
anatomy::UBERON:0000178	blood	anatomy
anatomy::UBERON:0000211	ligament	anatomy
anatomy::UBERON:0000473	testis	anatomy
anatomy::UBERON:0000474	female reproductive system	anatomy
anatomy::UBERON:0000482	basal lamina of epithelium	anatomy
anatomy::UBERON:0000483	epithelium	anatomy
anatomy::UBERON:0000922	embryo	anatomy
anatomy::UBERON:0000941	cranial nerve II	anatomy
anatomy::UBERON:0000946	cardial valve	anatomy
anatomy::UBERON:0000948	heart	anatomy
anatomy::UBERON:0000949	endocrine system	anatomy
anatomy::UBERON:0000955	brain	anatomy
anatomy::UBERON:0000959	optic chiasma	anatomy
anatomy::UBERON:0000964	cornea	anatomy
anatomy::UBERON:0000966	retina	anatomy
anatomy::UBERON:0000970	eye	anatomy
anatomy::UBERON:0000974	neck	anatomy
anatomy::UBERON:0000975	sternum	anatomy
anatomy::UBERON:0000977	pleura	anatomy
anatomy::UBERON:0000978	leg	anatomy
anatomy::UBERON:0000982	skeletal joint	anatomy
anatomy::UBERON:0000985	axillary vein	anatomy
anatomy::UBERON:0000988	pons	anatomy
anatomy::UBERON:0000989	penis	anatomy
anatomy::UBERON:0000991	gonad	anatomy
anatomy::UBERON:0000992	female gonad	anatomy
anatomy::UBERON:0000993	oviduct	anatomy
anatomy::UBERON:0000995	uterus	anatomy
anatomy::UBERON:0000996	vagina	anatomy
anatomy::UBERON:0000997	mammalian vulva	anatomy
anatomy::UBERON:0000998	seminal vesicle	anatomy
anatomy::UBERON:0000999	ejaculatory duct	anatomy
anatomy::UBERON:0001000	vas deferens	anatomy
anatomy::UBERON:0001003	skin epidermis	anatomy
anatomy::UBERON:0001004	respiratory system	anatomy
anatomy::UBERON:0001007	digestive system	anatomy
anatomy::UBERON:0001008	renal system	anatomy
anatomy::UBERON:0001011	hemolymph	anatomy
anatomy::UBERON:0001013	adipose tissue	anatomy
anatomy::UBERON:0001016	nervous system	anatomy
anatomy::UBERON:0001017	central nervous system	anatomy
anatomy::UBERON:0001021	nerve	anatomy
anatomy::UBERON:0001031	sheath of Schwann	anatomy
anatomy::UBERON:0001037	strand of hair	anatomy
anatomy::UBERON:0001044	saliva-secreting gland	anatomy
anatomy::UBERON:0001064	ventral pancreatic duct	anatomy
anatomy::UBERON:0001067	vertebral arch joint	anatomy
anatomy::UBERON:0001070	external carotid artery	anatomy
anatomy::UBERON:0001072	posterior vena cava	anatomy
anatomy::UBERON:0001088	urine	anatomy
anatomy::UBERON:0001089	sweat	anatomy
anatomy::UBERON:0001090	synovial fluid	anatomy
anatomy::UBERON:0001093	vertebral bone 2	anatomy
anatomy::UBERON:0001103	diaphragm	anatomy
anatomy::UBERON:0001105	clavicle bone	anatomy
anatomy::UBERON:0001111	intercostal muscle	anatomy
anatomy::UBERON:0001130	vertebral column	anatomy
anatomy::UBERON:0001132	parathyroid gland	anatomy
anatomy::UBERON:0001135	smooth muscle tissue	anatomy
anatomy::UBERON:0001140	renal vein	anatomy
anatomy::UBERON:0001143	hepatic vein	anatomy
anatomy::UBERON:0001148	median nerve	anatomy
anatomy::UBERON:0001174	common bile duct	anatomy
anatomy::UBERON:0001175	common hepatic duct	anatomy
anatomy::UBERON:0001182	superior mesenteric artery	anatomy
anatomy::UBERON:0001183	inferior mesenteric artery	anatomy
anatomy::UBERON:0001184	renal artery	anatomy
anatomy::UBERON:0001193	hepatic artery	anatomy
anatomy::UBERON:0001194	splenic artery	anatomy
anatomy::UBERON:0001224	renal pelvis	anatomy
anatomy::UBERON:0001225	cortex of kidney	anatomy
anatomy::UBERON:0001228	renal papilla	anatomy
anatomy::UBERON:0001231	nephron tubule	anatomy
anatomy::UBERON:0001232	collecting duct of renal tubule	anatomy
anatomy::UBERON:0001235	adrenal cortex	anatomy
anatomy::UBERON:0001236	adrenal medulla	anatomy
anatomy::UBERON:0001237	paraaortic body	anatomy
anatomy::UBERON:0001264	pancreas	anatomy
anatomy::UBERON:0001267	femoral nerve	anatomy
anatomy::UBERON:0001283	bile canaliculus	anatomy
anatomy::UBERON:0001285	nephron	anatomy
anatomy::UBERON:0001288	loop of Henle	anatomy
anatomy::UBERON:0001295	endometrium	anatomy
anatomy::UBERON:0001296	myometrium	anatomy
anatomy::UBERON:0001300	scrotum	anatomy
anatomy::UBERON:0001305	ovarian follicle	anatomy
anatomy::UBERON:0001310	umbilical artery	anatomy
anatomy::UBERON:0001322	sciatic nerve	anatomy
anatomy::UBERON:0001323	tibial nerve	anatomy
anatomy::UBERON:0001324	common fibular nerve	anatomy
anatomy::UBERON:0001343	seminiferous tubule of testis	anatomy
anatomy::UBERON:0001348	brown adipose tissue	anatomy
anatomy::UBERON:0001352	external acoustic meatus	anatomy
anatomy::UBERON:0001361	femoral vein	anatomy
anatomy::UBERON:0001365	sacro-iliac joint	anatomy
anatomy::UBERON:0001394	axillary artery	anatomy
anatomy::UBERON:0001398	brachial artery	anatomy
anatomy::UBERON:0001404	radial artery	anatomy
anatomy::UBERON:0001406	ulnar artery	anatomy
anatomy::UBERON:0001437	epiphysis	anatomy
anatomy::UBERON:0001456	face	anatomy
anatomy::UBERON:0001460	arm	anatomy
anatomy::UBERON:0001461	elbow	anatomy
anatomy::UBERON:0001463	manual digit 1	anatomy
anatomy::UBERON:0001464	hip	anatomy
anatomy::UBERON:0001465	knee	anatomy
anatomy::UBERON:0001467	shoulder	anatomy
anatomy::UBERON:0001469	sternoclavicular joint	anatomy
anatomy::UBERON:0001470	glenohumeral joint	anatomy
anatomy::UBERON:0001479	sesamoid bone	anatomy
anatomy::UBERON:0001484	articular capsule	anatomy
anatomy::UBERON:0001485	knee joint	anatomy
anatomy::UBERON:0001486	hip joint	anatomy
anatomy::UBERON:0001488	ankle joint	anatomy
anatomy::UBERON:0001490	elbow joint	anatomy
anatomy::UBERON:0001492	radial nerve	anatomy
anatomy::UBERON:0001494	ulnar nerve	anatomy
anatomy::UBERON:0001515	thoracic aorta	anatomy
anatomy::UBERON:0001516	abdominal aorta	anatomy
anatomy::UBERON:0001529	brachiocephalic artery	anatomy
anatomy::UBERON:0001530	common carotid artery plus branches	anatomy
anatomy::UBERON:0001532	internal carotid artery	anatomy
anatomy::UBERON:0001533	subclavian artery	anatomy
anatomy::UBERON:0001535	vertebral artery	anatomy
anatomy::UBERON:0001544	popliteal vein	anatomy
anatomy::UBERON:0001567	cheek	anatomy
anatomy::UBERON:0001577	facial muscle	anatomy
anatomy::UBERON:0001579	olfactory nerve	anatomy
anatomy::UBERON:0001585	anterior vena cava	anatomy
anatomy::UBERON:0001587	subclavian vein	anatomy
anatomy::UBERON:0001594	azygos vein	anatomy
anatomy::UBERON:0001597	masseter muscle	anatomy
anatomy::UBERON:0001598	temporalis muscle	anatomy
anatomy::UBERON:0001599	stapedius muscle	anatomy
anatomy::UBERON:0001600	tensor tympani	anatomy
anatomy::UBERON:0001616	maxillary artery	anatomy
anatomy::UBERON:0001619	ophthalmic artery	anatomy
anatomy::UBERON:0001620	central retinal artery	anatomy
anatomy::UBERON:0001624	anterior cerebral artery	anatomy
anatomy::UBERON:0001627	middle cerebral artery	anatomy
anatomy::UBERON:0001633	basilar artery	anatomy
anatomy::UBERON:0001636	posterior cerebral artery	anatomy
anatomy::UBERON:0001637	artery	anatomy
anatomy::UBERON:0001638	vein	anatomy
anatomy::UBERON:0001640	celiac artery	anatomy
anatomy::UBERON:0001643	oculomotor nerve	anatomy
anatomy::UBERON:0001644	trochlear nerve	anatomy
anatomy::UBERON:0001645	trigeminal nerve	anatomy
anatomy::UBERON:0001646	abducens nerve	anatomy
anatomy::UBERON:0001647	facial nerve	anatomy
anatomy::UBERON:0001648	vestibulocochlear nerve	anatomy
anatomy::UBERON:0001649	glossopharyngeal nerve	anatomy
anatomy::UBERON:0001650	hypoglossal nerve	anatomy
anatomy::UBERON:0001673	central retinal vein	anatomy
anatomy::UBERON:0001675	trigeminal ganglion	anatomy
anatomy::UBERON:0001676	occipital bone	anatomy
anatomy::UBERON:0001677	sphenoid bone	anatomy
anatomy::UBERON:0001678	temporal bone	anatomy
anatomy::UBERON:0001679	ethmoid bone	anatomy
anatomy::UBERON:0001681	nasal bone	anatomy
anatomy::UBERON:0001684	mandible	anatomy
anatomy::UBERON:0001685	hyoid bone	anatomy
anatomy::UBERON:0001687	stapes bone	anatomy
anatomy::UBERON:0001688	incus bone	anatomy
anatomy::UBERON:0001689	malleus bone	anatomy
anatomy::UBERON:0001690	ear	anatomy
anatomy::UBERON:0001691	external ear	anatomy
anatomy::UBERON:0001694	petrous part of temporal bone	anatomy
anatomy::UBERON:0001697	orbit of skull	anatomy
anatomy::UBERON:0001700	geniculate ganglion	anatomy
anatomy::UBERON:0001702	eyelash	anatomy
anatomy::UBERON:0001705	nail	anatomy
anatomy::UBERON:0001707	nasal cavity	anatomy
anatomy::UBERON:0001708	jaw skeleton	anatomy
anatomy::UBERON:0001710	lower jaw region	anatomy
anatomy::UBERON:0001711	eyelid	anatomy
anatomy::UBERON:0001716	secondary palate	anatomy
anatomy::UBERON:0001717	spinal nucleus of trigeminal nerve	anatomy
anatomy::UBERON:0001720	cochlear nucleus	anatomy
anatomy::UBERON:0001723	tongue	anatomy
anatomy::UBERON:0001724	sphenoidal sinus	anatomy
anatomy::UBERON:0001733	soft palate	anatomy
anatomy::UBERON:0001734	palatine uvula	anatomy
anatomy::UBERON:0001736	submandibular gland	anatomy
anatomy::UBERON:0001737	larynx	anatomy
anatomy::UBERON:0001744	lymphoid tissue	anatomy
anatomy::UBERON:0001750	lacrimal apparatus	anatomy
anatomy::UBERON:0001756	middle ear	anatomy
anatomy::UBERON:0001759	vagus nerve	anatomy
anatomy::UBERON:0001760	frontal sinus	anatomy
anatomy::UBERON:0001762	turbinate bone	anatomy
anatomy::UBERON:0001764	maxillary sinus	anatomy
anatomy::UBERON:0001768	uvea	anatomy
anatomy::UBERON:0001769	iris	anatomy
anatomy::UBERON:0001771	pupil	anatomy
anatomy::UBERON:0001772	corneal epithelium	anatomy
anatomy::UBERON:0001773	sclera	anatomy
anatomy::UBERON:0001775	ciliary body	anatomy
anatomy::UBERON:0001776	optic choroid	anatomy
anatomy::UBERON:0001777	substantia propria of cornea	anatomy
anatomy::UBERON:0001780	spinal nerve	anatomy
anatomy::UBERON:0001783	optic disc	anatomy
anatomy::UBERON:0001785	cranial nerve	anatomy
anatomy::UBERON:0001786	fovea centralis	anatomy
anatomy::UBERON:0001796	aqueous humor of eyeball	anatomy
anatomy::UBERON:0001805	autonomic ganglion	anatomy
anatomy::UBERON:0001814	brachial nerve plexus	anatomy
anatomy::UBERON:0001815	lumbosacral nerve plexus	anatomy
anatomy::UBERON:0001818	tarsal gland	anatomy
anatomy::UBERON:0001820	sweat gland	anatomy
anatomy::UBERON:0001821	sebaceous gland	anatomy
anatomy::UBERON:0001825	paranasal sinus	anatomy
anatomy::UBERON:0001827	secretion of lacrimal gland	anatomy
anatomy::UBERON:0001831	parotid gland	anatomy
anatomy::UBERON:0001832	sublingual gland	anatomy
anatomy::UBERON:0001833	lip	anatomy
anatomy::UBERON:0001836	saliva	anatomy
anatomy::UBERON:0001837	duct of salivary gland	anatomy
anatomy::UBERON:0001840	semicircular canal	anatomy
anatomy::UBERON:0001844	cochlea	anatomy
anatomy::UBERON:0001846	internal ear	anatomy
