drugbank_id	entrez_gene_id	sources	pubmed_ids	actions	affinity_nM	license	urls
DB00001	2147	DrugBank (target)	10505536|10912644|11055889|11467439|11752352|11807012	inhibitor		CC BY-NC 4.0	
DB00002	712	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00002	713	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00002	714	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00002	715	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00002	716	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00002	1956	DrugBank (target)	10480573|10601294|10628369|11408594|11431346|11752352	antagonist		CC BY-NC 4.0	
DB00002	2209	DrugBank (target)	7547242			CC BY-NC 4.0	
DB00002	2212	DrugBank (target)	17016423|17139284|17704420			CC BY-NC 4.0	
DB00002	2213	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00002	2214	DrugBank (target)	17016423|17139284|17704420			CC BY-NC 4.0	
DB00002	2215	DrugBank (target)	16336752			CC BY-NC 4.0	
DB00002	9103	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00004	3559	DrugBank (target)	11752352|17016423|17139284|17187516|18684057|2786749|3124610	binder		CC BY-NC 4.0	
DB00004	3560	DrugBank (target)	11752352|15811959|16516670|17187516|18684057	agonist		CC BY-NC 4.0	
DB00004	3561	DrugBank (target)	11707860|15811959|16516670			CC BY-NC 4.0	
DB00005	712	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00005	713	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00005	714	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00005	715	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00005	716	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00005	2209	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00005	2212	DrugBank (target)	15457442|15526004			CC BY-NC 4.0	
DB00005	2213	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00005	2214	DrugBank (target)	15457442|15526004			CC BY-NC 4.0	
DB00005	2215	DrugBank (target)	10800083|15457442|15526004|17387033			CC BY-NC 4.0	
DB00005	4049	DrugBank (target)	11302411|1328224|15005015|15033655|15695296			CC BY-NC 4.0	
DB00005	5743	DrugBank (enzyme)	16303916|17931716	inhibitor		CC BY-NC 4.0	
DB00005	7124	DrugBank (target)	10206649|10338381|10357816|10375846|10405518|11752352	antibody		CC BY-NC 4.0	
DB00005	7133	DrugBank (target)	11752352			CC BY-NC 4.0	
DB00005	9103	DrugBank (target)	10800083|7535196			CC BY-NC 4.0	
DB00006	2147	DrugBank (target)	11060732|11504570|11752352|11833835|11923794|11929334	inhibitor		CC BY-NC 4.0	
DB00006	4353	DrugBank (enzyme)	18701766	inhibitor		CC BY-NC 4.0	
DB00007	2798	DrugBank (target)	10394541|10687850|15758569|16809153|9625809	agonist		CC BY-NC 4.0	
DB00008	3454	DrugBank (target)	11752352|15898717|16953837|19955815	agonist		CC BY-NC 4.0	
DB00008	3455	DrugBank (target)	11752352|15898717|16953837|19955815	agonist		CC BY-NC 4.0	
DB00009	2243	DrugBank (target)	17963464|18673235|19436656			CC BY-NC 4.0	
DB00009	5054	DrugBank (target)	17963464			CC BY-NC 4.0	
DB00009	5329	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00009	5340	DrugBank (target)	11752352|17963464|18673235|19436656	activator		CC BY-NC 4.0	
DB00010	2692	DrugBank (target)	11752352|14499707	agonist		CC BY-NC 4.0	
DB00011	3454	DrugBank (target)	10822464|11752352|17016423|17139284|19955815	agonist		CC BY-NC 4.0	
DB00011	3455	DrugBank (target)	10822464|11752352|17016423|17139284|19955815	agonist		CC BY-NC 4.0	
DB00012	2057	DrugBank (target)	11752352|16505108|17575216	agonist		CC BY-NC 4.0	
DB00013	4036	DrugBank (target)	1280065|17016423|17139284|7959795|8241286			CC BY-NC 4.0	
DB00013	4811	DrugBank (target)	1499567|17016423|17139284			CC BY-NC 4.0	
DB00013	5054	DrugBank (target)	12579271|12642587|12709915|12745435|12785198			CC BY-NC 4.0	
DB00013	5055	DrugBank (target)	15277569|15351849|15640330|15944795|16327990			CC BY-NC 4.0	
DB00013	5104	DrugBank (target)	14645112|17253188|17434507			CC BY-NC 4.0	
DB00013	5327	DrugBank (target)	12745435|12787697|12826021|12893898|14507109			CC BY-NC 4.0	
DB00013	5328	DrugBank (target)	12556741|12579271|12707394|12745435|12824001			CC BY-NC 4.0	
DB00013	5329	DrugBank (target)	12615913|12817472|14679304|14688365|14720519|17327908			CC BY-NC 4.0	
DB00013	5340	DrugBank (target)	11752352|12658774|12666133|12719778|12720300|12745435	activator		CC BY-NC 4.0	
DB00013	6768	DrugBank (target)	12815039|14747469			CC BY-NC 4.0	
DB00014	2798	DrugBank (target)|DrugCentral (ChEMBL)	20053189	agonist		CC BY-NC 4.0	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200501
DB00014	3973	DrugBank (target)	17016423|17139284|20053189	agonist		CC BY-NC 4.0	
DB00015	2243	DrugBank (target)	17963464|18673235|19436656			CC BY-NC 4.0	
DB00015	5054	DrugBank (target)	17963464			CC BY-NC 4.0	
DB00015	5329	DrugBank (target)	17016423|17139284			CC BY-NC 4.0	
DB00015	5340	DrugBank (target)	11752352|17963464|18673235|19436656	activator		CC BY-NC 4.0	
DB00016	2057	DrugBank (target)	11752352|16505108|17575216	agonist		CC BY-NC 4.0	
DB00017	799	DrugBank (target)	11752352|3004987|7610922|9231703	agonist		CC BY-NC 4.0	
DB00018	3454	DrugBank (target)	11752352|15898717|17016423|17139284|19955815	agonist		CC BY-NC 4.0	
DB00018	3455	DrugBank (target)	11752352|15898717|16953837|17016423|17139284|19955815	agonist		CC BY-NC 4.0	
DB00019	1441	DrugBank (target)	12944913|15082029|15949269|16033816|17001306|17127322	agonist		CC BY-NC 4.0	
DB00019	1991	DrugBank (target)	12958067|14657210|15353486|16245075|17475913			CC BY-NC 4.0	
DB00020	1438	DrugBank (target)	11752352|16638185|16760463|17090651|17522711	agonist		CC BY-NC 4.0	
DB00020	1439	DrugBank (target)	1424804|17016423|17139284	agonist		CC BY-NC 4.0	
DB00020	3563	DrugBank (target)	16698686|17500228|17522711|17562355	agonist		CC BY-NC 4.0	
DB00020	5553	DrugBank (target)	16522458|17383764|17600316			CC BY-NC 4.0	
DB00020	6383	DrugBank (target)	10734053|17016423|17139284	agonist		CC BY-NC 4.0	
DB00021	6344	DrugBank (target)	11752352|17016423|17139284	agonist		CC BY-NC 4.0	
DB00022	3454	DrugBank (target)	11752352|15898717|16953837|17016423|17139284|19955815	agonist		CC BY-NC 4.0	
DB00022	3455	DrugBank (target)	11752352|15898717|16953837|17016423|17139284|19955815	agonist		CC BY-NC 4.0	
DB00024	7253	DrugBank (target)	11752352|15571461|9039330	agonist		CC BY-NC 4.0	
DB00025	433	DrugBank (target)	15946216|17016423|17139284	binder		CC BY-NC 4.0	
DB00025	811	DrugBank (target)	17016423|17139284|17899080|9525969|9607108	chaperone		CC BY-NC 4.0	
DB00025	821	DrugBank (target)	15213841|17016423|17139284|17899080|9525969|9607108	chaperone		CC BY-NC 4.0	
DB00025	2147	DrugBank (enzyme)	10688826|1139038|12463731|2402772|3099625	activator		CC BY-NC 4.0	
DB00025	2158	DrugBank (target)	1119107|14240634|2994716|6422634|932529	cofactor		CC BY-NC 4.0	
DB00025	2159	DrugBank (target)	11891806|13801371|14285227|236567|6436416	activator		CC BY-NC 4.0	
DB00025	3309	DrugBank (target)	17016423|17139284|9607108	chaperone		CC BY-NC 4.0	
DB00025	3998	DrugBank (target)	14629470|14726380|17016423|17139284	chaperone		CC BY-NC 4.0	
DB00025	4035	DrugBank (target)	17016423|17139284|21391865	modulator		CC BY-NC 4.0	
DB00025	5264	DrugBank (target)	11574539|17016423|17139284	antagonist		CC BY-NC 4.0	
DB00025	5624	DrugBank (enzyme)	17016423|17139284|21054189	inactivator		CC BY-NC 4.0	
DB00025	7450	DrugBank (target)	10938981|11858481|14750934|2128855|2942172	binder		CC BY-NC 4.0	
DB00025	90411	DrugBank (target)	15886209|17016423|17139284	modulator		CC BY-NC 4.0	
DB00026	3554	DrugBank (target)	10210771|11752352|12355453|12817089|17083033|17352828|17498496	antagonist		CC BY-NC 4.0	
DB00027	5243	DrugBank (transporter)	14985103	inhibitor		CC BY-NC 4.0	
DB00028	718	DrugBank (target)	17351760|17911465|20441428	binder		CC BY-NC 4.0	
DB00028	720	DrugBank (target)	17351760|17911465|20441428	binder		CC BY-NC 4.0	
DB00028	721	DrugBank (target)	17351760|17911465|20441428	binder		CC BY-NC 4.0	
DB00028	727	DrugBank (target)	17351760|17911465|20441428	binder		CC BY-NC 4.0	
DB00028	2209	DrugBank (target)	17351760|17911465|20441428	antagonist		CC BY-NC 4.0	
DB00028	2210	DrugBank (target)	17351760|17911465|20441428	antagonist		CC BY-NC 4.0	
DB00028	2212	DrugBank (target)	17351760|17911465|20441428	antagonist		CC BY-NC 4.0	
DB00028	2213	DrugBank (target)	17351760|17911465|20441428	antagonist		CC BY-NC 4.0	
DB00028	2214	DrugBank (target)	17351760|17911465|20441428	antagonist		CC BY-NC 4.0	
